"","CLNT_ID","SESS_ID","HITS_SEQ","PD_C","PD_ADD_NM","PD_BRA_NM","PD_BUY_AM","PD_BUY_CT"
"1","4736937","09416649",39,"559754","색상:멀티핑크(N29)|사이즈:L / 1개","타미진",52000,1
"2","4736937","09475186",38,"559754","색상:멀티핑크(N29)|사이즈:L / 1개","타미진",52000,1
"3","4736937","09532398",173,"559754","색상:라이트블루(N27)|사이즈:S / 1개","타미진",52000,1
"4","4736937","09532398",215,"559754","색상:멀티핑크(N29)|사이즈:L / 1개","타미진",52000,1
"5","4736937","09719051",141,"559754","색상:멀티핑크(N29)|사이즈:M / 1개","타미진",52000,1
"6","4736937","09719051",203,"559754","색상:멀티핑크(N29)|사이즈:M / 1개","타미진",52000,1
"7","4736937","09719051",234,"559754","색상:멀티핑크(N29)|사이즈:S / 1개","타미진",52000,1
"8","4736937","09895116",43,"559754","색상:멀티핑크(N29)|사이즈:M / 1개","타미진",52000,1
"9","4736937","09956171",80,"559754","색상:라이트블루(N27)|사이즈:M / 1개","타미진",52000,1
"10","4736937","10075618",179,"559754","색상:멀티핑크(N29)|사이즈:M / 1개","타미진",52000,1
"11","4736937","10127623",279,"559754","색상:멀티핑크(N29)|사이즈:L / 1개","타미진",52000,1
"12","4736937","10186321",189,"559754","색상:라이트블루(N27)|사이즈:M / 1개","타미진",52000,1
"13","4736937","10254848",16,"559754","색상:멀티핑크(N29)|사이즈:S / 1개","타미진",52000,1
"14","4736937","10254848",160,"559754","색상:라이트블루(N27)|사이즈:S / 1개","타미진",52000,1
"15","4736937","10254848",48,"559754","색상:라이트블루(N27)|사이즈:S / 1개","타미진",52000,1
"16","4736937","10315270",48,"559754","색상:라이트블루(N27)|사이즈:S / 1개","타미진",52000,1
"17","4736937","10563282",148,"559754","색상:멀티핑크(N29)|사이즈:S / 1개","타미진",52000,1
"18","4736937","10563282",186,"559754","색상:라이트블루(N27)|사이즈:M / 1개","타미진",52000,1
"19","4736937","10676037",145,"559754","색상:라이트블루(N27)|사이즈:S / 1개","타미진",52000,1
"20","4736937","10742885",255,"559754","색상:멀티핑크(N29)|사이즈:S / 1개","타미진",52000,1
"21","4736937","10742885",58,"559754","색상:멀티핑크(N29)|사이즈:M / 1개","타미진",52000,1
"22","4736937","10868581",175,"559754","색상:멀티핑크(N29)|사이즈:L / 1개","타미진",52000,1
"23","4736937","10925873",4,"559754","색상:라이트블루(N27)|사이즈:S / 1개","타미진",52000,1
"24","4736937","09356925",101,"559754","색상:멀티핑크(N29)|사이즈:L / 1개","타미진",52000,1
"25","4736937","09356925",121,"559754","색상:멀티핑크(N29)|사이즈:M / 1개","타미진",52000,1
"26","4736937","09356925",15,"559754","색상:멀티핑크(N29)|사이즈:S / 1개","타미진",52000,1
"27","4736937","09532398",183,"559754","색상:라이트블루(N27)|사이즈:S / 1개","타미진",52000,1
"28","4736937","09532398",74,"559754","색상:멀티핑크(N29)|사이즈:S / 1개","타미진",52000,1
"29","4736937","09595022",118,"559754","색상:라이트블루(N27)|사이즈:S / 1개","타미진",52000,1
"30","4736937","09719051",182,"559754","색상:라이트블루(N27)|사이즈:M / 1개","타미진",52000,1
"31","4736937","09834880",137,"559754","색상:멀티핑크(N29)|사이즈:S / 1개","타미진",52000,1
"32","4736937","09834880",189,"559754","색상:멀티핑크(N29)|사이즈:S / 1개","타미진",52000,1
"33","4736937","09895116",94,"559754","색상:멀티핑크(N29)|사이즈:M / 1개","타미진",52000,1
"34","4736937","09956171",123,"559754","색상:라이트블루(N27)|사이즈:S / 1개","타미진",52000,1
"35","4736937","09956171",90,"559754","색상:멀티핑크(N29)|사이즈:S / 1개","타미진",52000,1
"36","4736937","10021436",50,"559754","색상:라이트블루(N27)|사이즈:S / 1개","타미진",52000,1
"37","4736937","10075618",59,"559754","색상:멀티핑크(N29)|사이즈:S / 1개","타미진",52000,1
"38","4736937","10127623",289,"559754","색상:라이트블루(N27)|사이즈:S / 1개","타미진",52000,1
"39","4736937","10186321",40,"559754","색상:멀티핑크(N29)|사이즈:L / 1개","타미진",52000,1
"40","4736937","10378625",231,"559754","색상:멀티핑크(N29)|사이즈:L / 1개","타미진",52000,1
"41","4736937","10378625",242,"559754","색상:라이트블루(N27)|사이즈:S / 1개","타미진",52000,1
"42","4736937","10615387",178,"559754","색상:멀티핑크(N29)|사이즈:L / 1개","타미진",52000,1
"43","4736937","10803626",85,"559754","색상:라이트블루(N27)|사이즈:L / 1개","타미진",52000,1
"44","4736937","10925873",100,"559754","색상:멀티핑크(N29)|사이즈:S / 1개","타미진",52000,1
"45","4736937","09356925",221,"559754","색상:멀티핑크(N29)|사이즈:M / 1개","타미진",52000,1
"46","4736937","09416649",201,"559754","색상:멀티핑크(N29)|사이즈:L / 1개","타미진",52000,1
"47","4736937","09475186",159,"559754","색상:멀티핑크(N29)|사이즈:L / 1개","타미진",52000,1
"48","4736937","09595022",49,"559754","색상:라이트블루(N27)|사이즈:S / 1개","타미진",52000,1
"49","4736937","09660976",204,"559754","색상:멀티핑크(N29)|사이즈:M / 1개","타미진",52000,1
"50","4736937","09660976",215,"559754","색상:멀티핑크(N29)|사이즈:L / 1개","타미진",52000,1
"51","4736937","09660976",63,"559754","색상:라이트블루(N27)|사이즈:S / 1개","타미진",52000,1
"52","4736937","09719051",17,"559754","색상:멀티핑크(N29)|사이즈:S / 1개","타미진",52000,1
"53","4736937","09719051",224,"559754","색상:라이트블루(N27)|사이즈:S / 1개","타미진",52000,1
"54","4736937","09776121",239,"559754","색상:멀티핑크(N29)|사이즈:S / 1개","타미진",52000,1
"55","4736937","09776121",28,"559754","색상:멀티핑크(N29)|사이즈:M / 1개","타미진",52000,1
"56","4736937","09834880",126,"559754","색상:라이트블루(N27)|사이즈:M / 1개","타미진",52000,1
"57","4736937","09834880",38,"559754","색상:멀티핑크(N29)|사이즈:L / 1개","타미진",52000,1
"58","4736937","09834880",48,"559754","색상:라이트블루(N27)|사이즈:S / 1개","타미진",52000,1
"59","4736937","09834880",58,"559754","색상:라이트블루(N27)|사이즈:M / 1개","타미진",52000,1
"60","4736937","09956171",133,"559754","색상:라이트블루(N27)|사이즈:M / 1개","타미진",52000,1
"61","4736937","10021436",192,"559754","색상:멀티핑크(N29)|사이즈:S / 1개","타미진",52000,1
"62","4736937","10021436",202,"559754","색상:멀티핑크(N29)|사이즈:M / 1개","타미진",52000,1
"63","4736937","10127623",105,"559754","색상:라이트블루(N27)|사이즈:S / 1개","타미진",52000,1
"64","4736937","10127623",170,"559754","색상:라이트블루(N27)|사이즈:S / 1개","타미진",52000,1
"65","4736937","10378625",157,"559754","색상:멀티핑크(N29)|사이즈:S / 1개","타미진",52000,1
"66","4736937","10438983",44,"559754","색상:멀티핑크(N29)|사이즈:L / 1개","타미진",52000,1
"67","4736937","10563282",49,"559754","색상:라이트블루(N27)|사이즈:S / 1개","타미진",52000,1
"68","4736937","10742885",146,"559754","색상:멀티핑크(N29)|사이즈:L / 1개","타미진",52000,1
"69","4736937","09356925",142,"559754","색상:멀티핑크(N29)|사이즈:S / 1개","타미진",52000,1
"70","4736937","09356925",200,"559754","색상:멀티핑크(N29)|사이즈:L / 1개","타미진",52000,1
"71","4736937","09532398",18,"559754","색상:멀티핑크(N29)|사이즈:S / 1개","타미진",52000,1
"72","4736937","09595022",182,"559754","색상:라이트블루(N27)|사이즈:M / 1개","타미진",52000,1
"73","4736937","09595022",204,"559754","색상:멀티핑크(N29)|사이즈:M / 1개","타미진",52000,1
"74","4736937","09660976",226,"559754","색상:라이트블루(N27)|사이즈:S / 1개","타미진",52000,1
"75","4736937","09660976",85,"559754","색상:멀티핑크(N29)|사이즈:S / 1개","타미진",52000,1
"76","4736937","09719051",80,"559754","색상:멀티핑크(N29)|사이즈:M / 1개","타미진",52000,1
"77","4736937","09776121",38,"559754","색상:멀티핑크(N29)|사이즈:L / 1개","타미진",52000,1
"78","4736937","09834880",18,"559754","색상:멀티핑크(N29)|사이즈:S / 1개","타미진",52000,1
"79","4736937","09895116",156,"559754","색상:멀티핑크(N29)|사이즈:L / 1개","타미진",52000,1
"80","4736937","09895116",84,"559754","색상:멀티핑크(N29)|사이즈:S / 1개","타미진",52000,1
"81","4736937","09956171",143,"559754","색상:멀티핑크(N29)|사이즈:S / 1개","타미진",52000,1
"82","4736937","09956171",232,"559754","색상:멀티핑크(N29)|사이즈:L / 1개","타미진",52000,1
"83","4736937","10021436",170,"559754","색상:라이트블루(N27)|사이즈:S / 1개","타미진",52000,1
"84","4736937","10075618",2,"559754","색상:멀티핑크(N29)|사이즈:S / 1개","타미진",52000,1
"85","4736937","10127623",140,"559754","색상:멀티핑크(N29)|사이즈:M / 1개","타미진",52000,1
"86","4736937","10127623",227,"559754","색상:멀티핑크(N29)|사이즈:L / 1개","타미진",52000,1
"87","4736937","10186321",109,"559754","색상:멀티핑크(N29)|사이즈:L / 1개","타미진",52000,1
"88","4736937","10186321",179,"559754","색상:라이트블루(N27)|사이즈:S / 1개","타미진",52000,1
"89","4736937","10254848",202,"559754","색상:멀티핑크(N29)|사이즈:L / 1개","타미진",52000,1
"90","4736937","10315270",28,"559754","색상:멀티핑크(N29)|사이즈:M / 1개","타미진",52000,1
"91","4736937","10438983",23,"559754","색상:멀티핑크(N29)|사이즈:S / 1개","타미진",52000,1
"92","4736937","10503686",197,"559754","색상:라이트블루(N27)|사이즈:S / 1개","타미진",52000,1
"93","4736937","10503686",208,"559754","색상:라이트블루(N27)|사이즈:M / 1개","타미진",52000,1
"94","4736937","10676037",77,"559754","색상:라이트블루(N27)|사이즈:S / 1개","타미진",52000,1
"95","4736937","10803626",157,"559754","색상:멀티핑크(N29)|사이즈:S / 1개","타미진",52000,1
"96","4736937","09595022",60,"559754","색상:라이트블루(N27)|사이즈:M / 1개","타미진",52000,1
"97","4736937","09719051",166,"559754","색상:멀티핑크(N29)|사이즈:L / 1개","타미진",52000,1
"98","4736937","10127623",238,"559754","색상:라이트블루(N27)|사이즈:S / 1개","타미진",52000,1
"99","4736937","10254848",37,"559754","색상:멀티핑크(N29)|사이즈:L / 1개","타미진",52000,1
"100","4736937","10315270",68,"559754","색상:멀티핑크(N29)|사이즈:S / 1개","타미진",52000,1
"101","4736937","10503686",143,"559754","색상:라이트블루(N27)|사이즈:M / 1개","타미진",52000,1
"102","4736937","10503686",229,"559754","색상:멀티핑크(N29)|사이즈:S / 1개","타미진",52000,1
"103","4736937","10615387",35,"559754","색상:멀티핑크(N29)|사이즈:M / 1개","타미진",52000,1
"104","4736937","10615387",80,"559754","색상:라이트블루(N27)|사이즈:L / 1개","타미진",52000,1
"105","4736937","10676037",155,"559754","색상:라이트블루(N27)|사이즈:M / 1개","타미진",52000,1
"106","4736937","10803626",126,"559754","색상:라이트블루(N27)|사이즈:S / 1개","타미진",52000,1
"107","4736937","10925873",111,"559754","색상:멀티핑크(N29)|사이즈:M / 1개","타미진",52000,1
"108","4736937","10925873",38,"559754","색상:멀티핑크(N29)|사이즈:S / 1개","타미진",52000,1
"109","4736937","10928216",43,"559754","색상:멀티핑크(N29)|사이즈:L / 1개","타미진",52000,1
"110","4736937","09532398",64,"559754","색상:라이트블루(N27)|사이즈:S / 1개","타미진",52000,1
"111","4736937","09595022",108,"559754","색상:멀티핑크(N29)|사이즈:L / 1개","타미진",52000,1
"112","4736937","09719051",178,"559754","색상:라이트블루(N27)|사이즈:S / 1개","타미진",52000,1
"113","4736937","09834880",159,"559754","색상:멀티핑크(N29)|사이즈:L / 1개","타미진",52000,1
"114","4736937","10021436",60,"559754","색상:라이트블루(N27)|사이즈:M / 1개","타미진",52000,1
"115","4736937","10021436",70,"559754","색상:멀티핑크(N29)|사이즈:S / 1개","타미진",52000,1
"116","4736937","10186321",120,"559754","색상:라이트블루(N27)|사이즈:S / 1개","타미진",52000,1
"117","4736937","10186321",168,"559754","색상:멀티핑크(N29)|사이즈:L / 1개","타미진",52000,1
"118","4736937","10186321",29,"559754","색상:멀티핑크(N29)|사이즈:M / 1개","타미진",52000,1
"119","4736937","10315270",120,"559754","색상:멀티핑크(N29)|사이즈:S / 1개","타미진",52000,1
"120","4736937","10378625",46,"559754","색상:멀티핑크(N29)|사이즈:L / 1개","타미진",52000,1
"121","4736937","10438983",142,"559754","색상:라이트블루(N27)|사이즈:L / 1개","타미진",52000,1
"122","4736937","10615387",112,"559754","색상:멀티핑크(N29)|사이즈:L / 1개","타미진",52000,1
"123","4736937","10925873",142,"559754","색상:라이트블루(N27)|사이즈:S / 1개","타미진",52000,1
"124","4736937","10803626",95,"559754","색상:멀티핑크(N29)|사이즈:S / 1개","타미진",52000,1
"125","4736937","10868581",123,"559754","색상:라이트블루(N27)|사이즈:S / 1개","타미진",52000,1
"126","4736937","10868581",145,"559754","색상:라이트블루(N27)|사이즈:L / 1개","타미진",52000,1
"127","4736937","10925873",28,"559754","색상:라이트블루(N27)|사이즈:L / 1개","타미진",52000,1
"128","4736937","09356925",80,"559754","색상:멀티핑크(N29)|사이즈:S / 1개","타미진",52000,1
"129","4736937","09416649",120,"559754","색상:멀티핑크(N29)|사이즈:M / 1개","타미진",52000,1
"130","4736937","09416649",153,"559754","색상:멀티핑크(N29)|사이즈:M / 1개","타미진",52000,1
